state,state_abbr,oppose_expansion,gop_governor,percent_favorable_aca,percent_favorable_aca_original_scale,percent_supporting_expansion,percent_supporting_tea_party,obama_share,obama_win,ideology,gop_house,gop_sen,gop_leg,percent_uninsured,percent_uninsured_original_scale,dsh,percent_nonwhite,bal2012,percent_poverty,percent_poverty138,percent_metro,multiplier,low_birthweight,infant_mortality_rate,cancer_incidence,heart_disease_death_rate,life_expectancy,fem_leg_orginal_scale,fem_gov,shor_hou_orginial_scale,shor_sen_orginial_scale,fem_leg,shor_hou,shor_sen
Alabama,AL,1,0.4,-0.353847092,38.27111089,0.51076943,0.261595948,-0.495292604,-0.52,0.568367417,0.42,0.4,0.46,-0.043853751,14,0.49477078,0.119902567,-0.192312167,0.404657392,0.446915507,-0.011917015,0.61380237,0.653109951,1.048951338,0.203752917,1.013507753,-0.984744604,0.14,0,0.796,1.008,-1.456374419,0.915346814,1.226266779
Alaska,AK,1,0.4,-0.401333156,37.44284937,-0.254956252,0.284345504,-0.308963508,-0.52,0.032902084,0.42,0.4,0.46,0.565226123,19,-0.089743161,0.119902567,3.238509236,0.141892852,0.240963661,-0.107219405,-0.494603331,-0.331123623,-0.078394414,-0.166722917,-0.410620974,-0.109281897,0.27,0,0.634,0.621,0.407096786,0.696033974,0.665977235
Arizona,AZ,0,0.4,-0.273521798,39.67216092,0.173789403,0.170551915,-0.179906214,-0.52,0.189700098,0.42,0.4,0.46,0.443410148,18,-0.291484364,0.530095558,-0.103217193,0.536039662,0.549891431,0.305217062,0.568375907,-0.192912178,-0.12014796,-1.27470413,-0.491518227,0.283166903,0.36,1,0.746,0.597,1.697192236,0.847657666,0.631230597
Arkansas,AR,0,-0.6,-0.474745211,36.16238147,0.264574547,0.578725021,-0.540104814,-0.52,0.52129216,0.42,0.4,0.46,0.443410148,18,-0.304877037,-0.132523889,-0.205609925,0.667421932,0.858819201,-0.243147194,0.804593515,0.327108198,0.380894596,-0.592339339,0.785984228,-0.803614388,0.17,0,0.678,0.848,-1.026342602,0.755600424,0.994622523
California,CA,0,-0.6,0.668318169,56.09992408,0.177424941,-0.538831304,0.607560068,0.48,-0.576082972,-0.58,-0.6,-0.54,0.565226123,19,-0.073977991,0.971841856,-0.230875664,0.536039662,0.549891431,0.682172044,-0.494603331,-0.278938912,-0.662944063,-0.46654987,-0.235343592,0.645427334,0.27,0,-1.146,-1.41,0.407096786,-1.713699704,-2.274457037
Colorado,CO,0,-0.6,0.032001787,45.00116506,0.551405759,0.026206804,0.171711951,0.48,-0.056894362,-0.58,-0.6,-0.54,0.077962224,15,-0.252745567,-0.006310661,-0.047366612,-0.252253958,-0.376891879,0.404298642,-0.45826216,0.251978196,-0.203655053,-0.535475606,-0.725783189,0.40392038,0.41,0,-1.196,-0.518,2.413911931,-1.781388852,-0.983040311
Connecticut,CT,0,-0.6,0.446097966,52.22391436,-0.166071684,-0.626310653,0.459476776,0.48,-0.734508324,-0.58,-0.6,-0.54,-0.774749599,8,0.363537376,-0.037863968,-0.205609925,-0.515018498,-0.582843726,0.612811548,-0.494603331,-0.461283852,-0.245408599,0.827530831,-0.339835877,0.645427334,0.28,0,-1.006,-1.034,0.550440725,-1.524170089,-1.730093036
Delaware,DE,0,-0.6,0.459845623,52.46370377,0.642190068,-0.200613365,0.491688549,0.48,-0.393241096,-0.58,-0.6,-0.54,-0.53111765,10,-0.382260911,0.183009181,0.003164866,0.010510582,0.035011814,0.146038759,-0.349238649,0.220752191,NA,0.71552651,-0.002763989,-0.079093527,0.26,0,-0.751,-0.475,0.263752848,-1.178955433,-0.920785917
Florida,FL,0,0.4,0.147913296,47.02291705,0.299681498,-0.008798126,0.06157709,0.48,-0.147716775,0.42,0.4,0.46,0.808858072,21,-0.374423732,0.40388233,-0.091249211,0.273275122,0.343939584,0.622732535,-0.058509285,-0.135964123,0.172126865,-0.371776982,-0.228602154,0.222790165,0.26,0,0.573,0.37,0.263752848,0.613453213,0.302585309
Georgia,GA,1,0.4,0.090511253,46.021699,0.419174629,0.191331869,-0.148537319,-0.52,0.273511219,0.42,0.4,0.46,0.565226123,19,-0.102053365,0.466988944,-0.161727325,0.404657392,0.343939584,0.35220042,0.432096517,0.711660794,0.464401689,0.005591425,0.282061756,-0.441353958,0.23,0,0.809,0.855,-0.166278969,0.932945993,1.00475696
